ID,Quote Candidate,Book,Book Number,Character,Verification Status,Source Type,Source URL,Additional Sources,Context,Chapter,Page / Location,Humor Category,Spoiler Level,Standalone Quality,App Candidate,User Verified,Favorite,Research Confidence,Research Notes,Date Added
,"""Every day is a new flower, a second chance—a rebirth—when you are Bartholomew.""",The Knave and the Moon,2,Bartholomew,Wording conflict,Goodreads,https://www.goodreads.com/book/show/241564688-the-knave-and-the-moon,https://ursummary.com/the-knave-and-the-moon-summary-rachel-gillig/,"Late-book scene — the answer to ""Why do you call everyone Bartholomew?""",,,"Wholesome, Advice",Moderate,5,TRUE,FALSE,FALSE,High,"Single most-quoted Book 2 Bartholomew line found. Minor wording conflict: one Goodreads review renders ""Everyday"" as one word.",2026-09-19
,"""Do not let the light go out of your eyes."" ""That is true."" ""And yet.""",The Knave and the Moon,2,Bartholomew,Unverified,Goodreads,https://www.goodreads.com/quotes/list/4712014-jennie-bee,https://www.goodreads.com/user/show/105611342-vic-sharp,"Tender scene: Sybil crying, Bartholomew looking at the moon.",,,"Deadpan, Wholesome",Moderate,4,TRUE,FALSE,FALSE,Medium,"The closing lines (""That is true."" / ""And yet."") are unambiguously his; the opener is most plausibly his since Sybil's removed line reads as a response. Sybil's line and narration removed. Source punctuation is messy — transcription artifact; word content consistent across two independent users.",2026-09-19
,"""Once, the name Bartholomew meant very little. But time has a way of circling back to itself—with little alterations, of course. I like to think now that the name Bartholomew is like you or me; its worth is yet to be defined, and thusly full of promise."" ""I like to give it away. After all…""",The Knave and the Moon,2,Bartholomew,Unverified,Other,,,"The answer to ""Why do you call everyone Bartholomew?""",,,Observation,Moderate,5,TRUE,FALSE,FALSE,Medium,"Single unofficial ebook-text source; URL deliberately withheld — verify against your own copy of the book. Narration removed. ""Thusly"" is characteristically Bartholomew.",2026-09-19
,"""Oh."" ""It's you, Bartholomew."" ""Of course. I am the most remembering creature I know, and I'd know you anywhere, Sybil Delling."" ""It's good to be home.""",The Knave and the Moon,2,Bartholomew,Unverified,Other,,,Late-book reunion scene.,,,Wholesome,Major,4,TRUE,FALSE,FALSE,Medium,"Single unofficial ebook-text source; URL deliberately withheld — verify against your own copy. He addresses Sybil as ""Bartholomew"" here, per his naming habit.",2026-09-19
,"""you know, i think there is something different about you, bartholomew. the light in your eyes has dimmed.""",The Knave and the Moon,2,Bartholomew,Unverified,Goodreads,https://www.goodreads.com/book/show/241564688-the-knave-and-the-moon,,"He notices a change in Sybil. Ties to the ""light in your eyes"" motif.",,,Observation,Moderate,3,FALSE,FALSE,FALSE,Medium,"Single source, quoted from the reviewer's memory; the lowercase casing is the reviewer's, not the book's. He addresses Sybil as ""Bartholomew"" here.",2026-09-19
,"""Flowers grow in the strangest of places, Bartholomew. Even cracks.""",The Knave and the Moon,2,Bartholomew,Unverified,Goodreads,https://www.goodreads.com/book/show/241564688-the-knave-and-the-moon,,None given by sources; thematically rhymes with the flower/rebirth language elsewhere.,,,Wholesome,Moderate,4,FALSE,FALSE,FALSE,Low,Speaker genuinely ambiguous — could be Bartholomew addressing Sybil (his naming habit) or Sybil addressing him. Two independent readers quote the line (high confidence it's a real Book 2 line; low on Bartholomew attribution). Verify against the book before any use.,2026-09-19
,"""There you are, Bartholomew!""",The Knave and the Moon,2,Bartholomew,Unverified,Other,https://www.youtube.com/watch?v=PM1CLZSydQk,,River rescue scene per podcast show notes.,,,"Reaction, Wholesome",Moderate,3,FALSE,FALSE,FALSE,Low,Speaker ambiguous — could be him addressing Sybil or Sybil addressing him. Paraphrase risk: the podcaster may have condensed rather than quoted verbatim.,2026-09-19
15,"Oh, Bartholomew.",The Knight and the Moth,1,Bartholomew,,,,,,10,121,,,,FALSE,FALSE,FALSE,,,
14,"If you wish to divine before the bitch—excuse me—before the abbess arrives, beest get cracking.",The Knight and the Moth,1,Bartholomew,,,,,,7,75,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
